name,line
Rigby,Well fine. I'll be busy with my new friends! Plan-breaker!
Rigby,Are you done with your stupid cologne yet? You know that stuff's not gonna work.
Mordecai,Why don't you get out of here? You don't know anything.
Pops,"Mordecai, Rigby, wonderful day we're hav--. (He smells something funky, which is the cologne, and he runs away squealing in horror.)"
Rigby,(laughs) In your face! I knew that stuff wasn't gonna work.
Mordecai,"Shut up! I'm not trying to attract Pops, I'm trying to attract Margaret. She's probably on her way right now. (Sprays more of the cologne, while Rigby is coughing, and the cologne attracts a haze.) Margaret? I'm over here. Margar--? (Spots a Unicorn behind him) Oh, geez!"
st Unicorn,(sniffs) Whaddaya got there?
Mordecai,DudeTime?
st Unicorn,"Aw, I knew it! Come out, bros, come out! I told you it was DudeTime!"
th Unicorn,Alright! DudeTime!
th Unicorn,"Yeah! DudeTime, bros!!"
th Unicorn,Yo! Did someone say there's DudeTime down here?
st Unicorn,"Can I bum a spray, can I bum a spray?"
Mordecai,Who are these guys?
Rigby,"I dunno. They seem pretty cool, though!"
th Unicorn,You bros wanna hang out?
Rigby,(gasps) I wanna hang out! But you're wasting your time with this guy. All he wants to do is get with Margaret.
st Unicorn,Margaret? That doesn't sound like a dude's name. Are you using DudeTime to get the ladies?
Mordecai,"Yeah, so what?"
st Unicorn,"Aw no, bro! You don't use this to get the ladies. You use it to hang out with the bros!"
Unicorns,Bros! Bros! Bros! Bros! Bros!
Rigby,"Yeah, hee hee! Finally somebody's speaking my language! (Rigby joins in with the chant of Bros.)"
st Unicorn,"Haw haw! Little dude makes me laugh. Seriously though. You're pretty cool, too, for letting us bum some of your DudeTime, so... if you really wanna attract the ladies, we can help."
Mordecai,Really?
st Unicorn,"Aw, yeah. We know all about the ladies."
Mordecai,"Actually, uh, that would be pretty awesome, guys."
st Unicorn,Cool. Just point us to the lady.
Mordecai,"Well, this is where she works. What do I gotta do?"
st Unicorn,"Oh, we'll tell you what to do, but first you have to drink from the Cup of Knowledge."
Mordecai,"Aw, sick. What was that?!"
st Unicorn,It's definitely not unicorn slomp! (The Unicorns high-five. The 7th Unicorn has arrived by this point)
Mordecai,How is that supposed to get me a lady?
st Unicorn,"Chill out, bro. We're just having a little fun."
Rigby,"Yeah, fun! Ever hear of it?"
Mordecai,Quit bein' such a jerk!
st Unicorn,Come on! We won't mess with you anymore. I promise. Got a great way to help you get your lady.
Mordecai,Great. As long as I don't have to stand next to that total loser I'm up for anything.
Rigby,Meh meh meh meh meh meh meh meh meh meh meeeeeh.!
st Unicorn,"'Kay, check it: the ladies love dudes who slick their hair back. Jimmy, give 'im the stuff."
th Unicorn,"Here, use this!"
Mordecai,"Huh, fine."
Mordecai,Are you sure she'll be into this?
st Unicorn,"Totally, bro, she'll be all about it. All you gotta do is lay it down."
Mordecai,Lay it... down.
st Unicorn,"Yeah, bro, you know: lay it down!"
Margaret,Can I help you?
Mordecai,"(nervously) H-hey, Margaret..."
Margaret,Mordecai?
Margaret,"Oh, hey! What's up?"
Mordecai,"I'm uh, I'm here to... lay it down."
Margaret,What?
Mordecai,Lay it... down?
Margaret,Um. Sure. Are you feeling OK?
Mordecai,"Yeah, I'm great, uh, I'll be right back."
Mordecai,"What the H, guys? Not cool!"
st Unicorn,"Chill out, bro! We were watching you in there and little dude had a really good point."
Mordecai,What point?
st Unicorn,That we're totally not hanging out enough.
Mordecai,"Aw, jeez."
st Unicorn,Don't worry. We're still gonna help you get your lady.
Mordecai,How?
st Unicorn,By partying at your place!
Mordecai,(screaming) Wait what?!
Rigby,Ha ha! Ha ha ha!
Mordecai,"Dude, these guys aren't trying to help me. They're just messing with me."
Rigby,"Dude, they're just partying."
Mordecai,How is this supposed to help me get the ladies?
Rigby,They got you a lady!
Mordecai,That's not a lady.
Mordecai,"Hey, I thought you were gonna help me with Margaret."
st Unicorn,(angrily) Something's touching me!
Rigby,"Hey, bros, check this out. (Approaches Mordecai) Here, let me help you up. (He pulls his hand away at the last second.) Psych! Why don't you ask Margaret to help you up? Ohhhhh!"
Mordecai,"You know what, Rigby? Have fun with your new friends, you jerk. Oh, and just so you know, when Benson finds out about your friends and their little hangout time, he's probably gonna fire ya. Later, bro."
Rigby,"(worried) Mordecai, wait!"
th Unicorn,(from upstairs) Bros! I found a trampoline!
Rigby,No! (Rigby runs up to his room) What are you doing to my bed?
th Unicorn,"You sleep on this, bro?!"
Rigby,Get off it!
th Unicorn,"Right after this somersault. (The unicorn flips in mid air and his horn rips the trampoline, falling to the floor.) Bros, this trampoline's all over me. Help me get it off!"
Rigby,My bed!
st Unicorn,"Hey, bro. You know this nerd?"
Benson,Hrrgrh! Rgh! Rrrghhlllghg! Mmmmnnnggghllgh! (probably) Rigby! When I get out of here I'll kill you!
st Unicorn,"Check this out. (He gets some gumballs out of Benson and eats them) What's the matter, Rigbone? You like that nerd or something?"
rd Unicorn,"(slaps Rigby) Yeah, dude. Chill out. (Elbows Rigby) And have a drink! (He sprays Rigby with a soda can, temporarily blinding Rigby. In his confusion, Rigby stumbles between the unicorns, who have formed a circle with the intention of repeatedly farting on him)"
Rigby,"Hey, Mordecai."
Mordecai,Don't touch me!
Rigby,"Heh, huh... So, I sorta need your help."
Mordecai,Why don't you ask your new bros for help?
Rigby,"Dude, get over it! It's not my fault! If you would have just hung out with me and played some Strong Johns, none of this woulda happened."
Mordecai,"Look, I'm sorry about the game, but that doesn't give you the right to treat me like garbage! (yells) You owe me an apology!"
Rigby,"(avoiding eye contact, speaking quickly and quietly) I'm sorry."
Mordecai,A real apology.
Rigby,"OK, I'm sorry. I'm... sorry! (screaming) Is that what you want to hear? (screaming louder) I MISS YOU!!!! I miss you...! (Rigby looks like he's about to cry)"
Mordecai,"OK, quit being a baby. (He punches Rigby in the arm)"
Rigby,Ahh! Why?!
Mordecai,That's for psyching me.
Mordecai,It's gonna suck for you when Benson gets untied.
Rigby,"Dude, you have to help me."
Mordecai,"Way ahead of you, bro."
Mordecai and Rigby,Hey Skips.
Rigby,We have a problem.
Skips,Unicorns?
Rigby,How'd you know?
Skips,They peed on my lawn.
Mordecai,"So, how do we get rid of them?"
Skips,"Well, that's really hard. They're like insects, but... (hefts his weights onto the bar and sits up) there's one thing unicorns never say no to. (He motions for Rigby to hand him a towel - Rigby does so and Skips wipes his face with it. We zoom in close to Skips' face) Drag racing."
Skips,"You guys know what to do, right?"
Rigby,Yeah.
Mordecai,"(loudly, so the unicorns can hear) Hey, Rigby. Weren't we supposed to race some unicorns, and not a bunch of losers?"
Unicorns,You're dead! You're gonna die!
Pops,Horseless carriages...
Pops,... commence!
Skips,This is how you get rid of unicorns.
Rigby,But what if they come back?
Benson,They ain't comin' back!
Rigby,(sparkles in their eyes) Cool!
Benson,That's the only way to get rid of unicorns.
Benson,"I can't believe you idiots let those unicorns in here! You two morons (In the UK, Morons is changed to Idiots.) had better get this mess cleaned up, or you'll wish it was YOU DRIVING THAT CAR!!!"
Rigby,The unicorn one? (Benson sprays Rigby with the hose and Rigby screams) Coooooollld!
Benson,(to Mordecai) And you! (Mordecai screams as he shakes in fear) Quit spraying that cologne! It's not gonna get you any ladies. Idiots... (walks away)
Mordecai,Wanna go... bro?
Rigby,Strong Johns?
Mordecai,Yeah.
Game Voice,D-d-d-d-d-da-Dig Champs!
Rigby,"Dude, these are probably the best graphics I've ever seen in my life."
Mordecai,"Dude, it looks just like the cover."
Mordecai,"Oh man. Dude, let's play it."
Rigby,"Whoa, whoa, whoa! You can't play game like this right out of the box. We should stretch it out first."
Rigby,"We don't want to pull our hammies, know what I'm saying?"
Rigby,"Hey, what are you doing?"
Mordecai,Starting. Hurry up and pick your character. (laughs)
Rigby,"Aw, what? I wanted to be Player One!"
Mordecai,"Dude, I'm Player One. You're Player Two."
Rigby,I don't wanna be Player Two! He just digs with the sucky pickaxe! I want the one with the shovel!
Mordecai,"Dude, they're exactly the same!"
Rigby,Then why don't you be Player Two?
Mordecai,"Pfft, I'm not using that sucky pickaxe."
Rigby,(gasps) See!?
Mordecai,"Dude, calm down. Let's play punchies to see who gets to be Player One."
Rigby,Fine.
Mordecai,Looks like I'm Player One.
Rigby,No!
Rigby,"It's not fair, you always get your way!"
Rigby,"""Let's play punchies! Let's play punchies!"" I'm sick of it! Of course I'm not gonna beat you at punchies!"
Mordecai,"Dude, you don't beat anybody at punchies."
Rigby,"Yes, I do!"
Mordecai,"No, you don't."
Mordecai,"Wee-ooh, wee-ooh, wee-ooh! ""Quick, doctor! Both of these buttcheeks are unrecognizable! If we want anybody to be able to recognize this as a butt in the future, then we're gonna have to do a complete butt transplant, stat!"""
Rigby,Stop talking!! There was only damage to the one cheek and you know it!
Mordecai,"(laughs) That's right! We used to call you the One Cheek Wonder! Dude, I'm bringing it back."
Rigby,You better not!
Muscle Man,Is that One Cheek Wonder? I hope he's not trying to play punchies with cheeks like that!
Rigby,Shut up! Don't look at them!
Rigby,"I'll win at punchies, you'll see!"
Rigby,Dumb Mordecai! I hate you!
Mordecai,You better not be messing up my side of the room!
Rigby,You're ruining my life!
Rigby,Stupid bo - book?
Rigby,"Death Kwon Do? ""Learn kicks, chops and punches in moments! Unlock your full potential today?"""
Rigby,Yes!
Sensai,"It's a touching story. Really, it is. But I don't know if you're ready for Death Kwon Do."
Rigby,Why not?
Sensai,"Death Kwon Do is all about self-defense. But from the sound of it, you just want to hit harder."
Rigby,"Uh, no? Can you just teach me something?"
Sensai,"Hmm, determination. I like that. Okay, I'll teach you some beginner defensive moves. All you gotta do is pick from the sacred text of Death Kwon Do."
Sensai,"Let's see, we could start you off with the Bicep Flex of Death. Or there's the Leg Lifts of Death, that's a good beginner's move. Or the Pelvic Thrust of Death, that's one of my personal favorites."
Rigby,That one. That's the one I want: The Death Punch.
Sensai,"That, I'm afraid, is not for beginners."
Rigby,"What, why!?"
Sensai,Because you only wanna use it to beat up your friends. You're not pure of heart!
Rigby,What!? Don't call me not pure of heart! What about you with your crappy mullet? You're the one who's not pure of heart!
Sensai,That's it!
Sensai,"I'm turning my back on you and counting to three...of death. And when I turn back around, you're toast!"
Sensai,One...of death. Two...of death.
Sensai,N-n-nooooooooo!!
Student,"Um, Sensai? Um, I think somebody just Death Kwon Clogged the toilet."
Sensai,Nooooooooo!!
Rigby,Whoa...time to take this baby for a test drive.
and he looks around to find his first victim,"He spots Muscle Man and Hi Five Ghost walking past with a wheelbarrow. Rigby runs up to them and does the Death Punch, blasting them away. Muscle Man crashes into a building and flops over, so that his butt is stuck in his face)"
Muscle Man,"Oh no, bro..."
Rigby,"You're next, Mordecai!"
Mordecai,"""Do, do, do-do, do-do!"" Alright, Rigby. Crybaby time's over. Come on, let's go get some food, I'm buying."
Mordecai,"Aw, what!?"
Mordecai,Rigby! Ugh! He's gonna pay for this.
Mordecai,Death Kwon Do?
Rigby,"Where are you, Mordecai!? I wanna play you punchies!"
Rigby,"Hey, mister! Have you seen Mordecai?"
Rigby,Have you seen him?
Rigby,How about you?
Mordecai,"Oh, so you think you're gonna beat me at punchies? Well, I got news for you. I know your little secret."
Rigby,Now massage this foot!
Skips,But I already did that one.
Rigby,"Then rub it again! Unless you wanna get punched again? And Pops, what's with the easy-breezy? Speed it up, my pepperonis are roasting down here!"
Rigby,"Muscle Man, do you see Mordecai yet?"
Muscle Man,"Uh, I can't see anything."
Mordecai,"I'm right here, Rigby."
Rigby,Gimme those!
Rigby,Looks like you learned the ways of Death Kwon Do.
Mordecai,Looks like you know how to say things that people are already aware of.
Rigby,Whatever. You can't handle the Death Punch.
Mordecai,That sounds like a challenge.
Rigby,That's because maybe it is a challenge.
Mordecai,"Well then, what are you doing up there?"
Rigby,Muscle Man! Hi Fives! Carry me down.
Rigby,"Don't drop me. Be careful. Whoa, whoa! Leaning, leaning!"
Rigby,Here! Here! Set me here.
Rigby,What move did you learn?
Mordecai,Why don't you come over here and find out?
Rigby,What?
Rigby,How come you're not dead yet?
Mordecai,Probably because I learned the Death Block.
Mordecai,It worked pretty good for a first try. Either that or your Death Punch totally blows.
Rigby,I'll kill you!!
Mordecai,"Hmph, hmph. You're never gonna beat me at punchies."
Mordecai,Are you finished yet?
Rigby,Not until I smash you!
Mordecai,Whoa.
Rigby,What? Are you afraid of a little lava?
Mordecai,"Dude, this is serious! We gotta get out of here!"
Rigby,Never! Not until I beat you at punchies!
Mordecai,"Dude, stop! We're gonna die!"
Rigby,I don't care! I'm sick of you always winning!
Rigby,I'm not quitting 'till I win!
Mordecai,"Ahh! You got me! You got me! Ahh, you got me. You win. We have to stop now 'cause I lost."
Rigby,"Ha! I told you I was gonna win! In your face! Yay, I finally get to be Player One!"
Mordecai,What!? That's what this is about? You just wanted to be Player One?
Rigby,That's all I ever wanted!
Mordecai,"Dude, you can totally be Player One."
Mordecai,"Dude, quit crying. I said you could be Player One."
Rigby,"I know, but what good is being Player One now? We're just gonna die in this lava!"
Mordecai,"Don't worry, dude. I can get us away from the lava."
Rigby,Really? How!?
Mordecai,You think I'm dumb enough to only steal one Death Kwon Do move?
Rigby,Wha'?
Mordecai,"Now, how do you wanna get out of here? The Death Jump or the Death Dump?"
Rigby,"Aw, sick! Better go with the Death Jump."
Mordecai,Hold on tight.
Pops,Look!
Sensai,"Why yes, sir. I have the Death Jump and the Death Dump, right he-"
Sensai,Nooooo-
Game Voice,D-d-d-d-d-da-Dig Champs!
Rigby,"Aw, yes! It's finally happening!"
Mordecai,"Yep. For once, being a huge baby actually worked out for you."
Rigby,Stop talking!
Mordecai,"Heheheh. Dude, just hurry up and play. You're just gonna die right at the beginning anyway."
Rigby,"""Mememememememememememe!"" (grunts) I'll show you."
Rigby,"Aw, what? Snails are bad? I thought snails were good!"
Mordecai,"No, dude. Snails are bad."
Rigby,"Aw, man. This sucks. I wanna be Player Two."
Rigby,"(Laughing) Dude! I'm open, I'm open, dude!"
Mordecai,"(Snickers) Go long, dude!"
Rigby,"Touchdown, sock faces!"
Benson,"Hey, you two! Quit fooling around; we're having an emergency meeting."
Mordecai,"Aw, what?"
Rigby,Boo!
Benson,"(Signals to the door) Outside, now!"
Benson,"Alright, everyone. I got some bad news. The park is being audited. (points to Pops) Pops tried to pay the park's taxes... (gives Pops a look) ...with lollipops."
Pops,But I gave them more than enough.
Benson,"We already went over this, Pops. You pay taxes with money, not lollipops."
Pops,(Sad) Oh.
Rigby,(Blows his lips) What's the big deal? It's not like an audit is a bad thing.
Benson,"It is a bad thing, Rigby! If we don't take care of this, the government takes our stuff away."
Benson,"OK, we only have till 3 to stop the audit. (Slowly pan over to Muscle Man and Hi Five Ghost, who are thinking up something funny.) Does anyone know someone who can help us? Anybody? Anybody at all?"
Muscle Man,(Raises his hand) I know someone who can help.
Benson,"(threatening) If you say your mom, you're fired!"
Muscle Man,(Long pause) MY MOM!
Benson,GET OUT!!
Muscle Man,It was worth it!
Mordecai,(Thinks) Hmmm... Hmph. Hey! (looks at Rigby) We know someone.
Rigby,We do?
Rigby,No! No way!
Benson,"What? If you know somebody, you've got to tell me."
Mordecai,Rigby has a brother. (Rigby punches Mordecai.) And he's an accountant. (Rigby punches Mordecai rapidly.)
Rigby,Shut up!
Mordecai,"Dude, what do you have against Don?"
Young Rigby,Guys! Guys! Guys!
Young Don,"Hey, Rigby. Happy birthday, bro."
Young Rigby,Wha? Wha? I told you to stay in the basement!
Young Don,"Oh. Sorry, Rigby. I just wanted to give you some birthday sugar."
Young Rigby,I don't want your freakinâ€™ sugar!
Young Rigby,Don't you dare!
Young Mordecai,"I'm just getting some sugar, dude. (Rigby lets go of him.) Besides, Don is cool."
Rigby Friend,"You're the best, Don!"
Mordecai,Yeah. Don really made that party.
Benson,Call your brother!
Rigby,No!
Benson,Call your brother!
Rigby,No! I hate him!
Benson,"Fine. (To Mordecai) Mordecai, you call him."
Rigby,You better not!
Mordecai,"Dude, he could save the park!"
Rigby,"Dude, he could ruin my life! If he comes, I'm gonna tell him to leave!"
Benson,"(Walks up to Rigby) No, you won't! You be nice to your brother or you're FIRED! (To Mordecai) Call him. (He walks off.)"
Mordecai,"(Pats Rigby) Dude, just be cool until he stops the audit."
Rigby,Grrrr!
Rigby,You guys are making a big mistake.
Benson,"Don't ruin this for us, Rigby."
Benson,Really nice car.
Pops,He looks just like Rigby.
Don,(Gets out of his car) Did somebody order an accountant?
Benson,Thank you so much for coming on such short notice. I'm Benson.
Don,"Benson. Give me some sugar. (Hugs Benson) Nice to meet you. Hey, who's this guy?"
Pops,I'm Pops.
Don,Pops. Give me some sugar.
Don,Don. Good to meet ya.
Don,"Look at this sugar shack. Come here, guy (Gives Mordecai a hug) I haven't seen you in forever."
Mordecai,"(Chuckles) Yeah, I know! Oh, it's been forever."
Don,"Rigby. Give me some sugar, bro."
Rigby,Don't you have taxis to do? Why don't you get to it?
Don,(Chuckles) Oh. He was always greedy with the sugar.
Rigby,Augh! I can't wait for you to get out of my life!
Don,"What, bro?"
Benson,(Angrily whispers to Rigby) You keep your mouth shut!
Rigby,(flinching) Nothing.
Don,"So then I said, ""You're not an accountant, you're an account-can't!"""
Pops,I didn't realize accounting could be so fascinating!
Don,I'm just lucky I get to do what I love.
Rigby,"(Mocking Don) ""Ohh, I'm just lucky I get to do what I love."""
Don,(Turns around) Rigbone. Sugar?
Rigby,Shouldn't you be fixing the augite?
Don,You mean the audit?
Rigby,Don't correct me! I know what it is!
Don,"(Laughing) Whoa, there. I'm sensing some tension, bro. I think it's time we all take a well-deserved break."
Don,Mordo! Go long!
Mordecai,I got it!
Rigby,"Hello, ""Mordo"". Enjoying your game?"
Mordecai,"Uh, sure, dude. Can you pass the ball?"
Mordecai,(Grunts) Rigby!
Rigby,He's not even doing the debit!
Mordecai,"It's audit! (Sighs) Rigby, why don't you just try being nice to your brother? He's actually pretty cool."
Rigby,You don't get it! He...
Don,"Hey, Mordo! We playing or what?"
Mordecai,"Uh, yeah, coming!"
Don,"Ah, I just about got this. With a few minutes to spare. (Rigby walks in.) Rigbone. How about a little pre-saving the park sugar? You know? for almost being done saving the park?"
Rigby,NO!
Don,What's going on with us? You never give me some sugar. Did I do something?
Rigby,Yeah. You were born!
Don,(visibly hurt) Wow. That's heavy. I gotta get out of here.
Mordecai,"Dude? No, wait Don!"
Don,I'm sorry. I just... gotta get out of here!
Mordecai,"Dude, what are you doing? He was almost done!"
Rigby,"Ah, he's not so cool."
Rigby,OK. (He presses another button and more ads pop up. The screen turns red and vibrates dangerously.) Augh! Mordecai! Help!
Mordecai,What did you do?
Rigby,I don't know!
Mordecai,This doesn't make any sense.
Rigby,"No, no, no!"
Benson,Don? We brought you a cake. It's almost three. Were you able to stop the audit?
Rigby,"(Imitates Don, badly) Uh, almost done, Benson-bone. (Normal voice, to Mordecai) How do I send this thing?"
Mordecai,"No dude, call your brother back."
Rigby,No! I hate him!
Mordecai,Don't... Don't send it! Don't!
Rigby,Augh! Must... push... send!
Rigby,Crap!
Computer,You are late. Begin audit.
Pops,"Oh, my..."
Benson,"Where's Don?! (Outside, Don is shown driving away, almost crying. The others run out after him.) Don! Wait! (To the others) What happened?"
Mordecai,Rigby blew it! He wouldn't give Don sugar.
Benson,(Furious) What?! Go give him some sugar!
Rigby,(Even more furious) NEVER!
Mordecai,Rigby? Rigby! (He looks for Rigby and eventually sees his tail poking out from under a pile of clothes on his trampoline.) Rigby!
Rigby,(In a sad voice) Rigby's not here right now.
Mordecai,Quit being so selfish! (Moves clothing out of the way) The park is disappearing! We have to end this.
Rigby,"Don't tell me what to do! You don't know what it's like to have a brother, so you don't know!"
Mordecai,"You're right. I don't have a brother. But I kinda know what it's like... 'cause I have you, dude. You're like my brother."
Rigby,(Climbing out from under a t-shirt) Really?
Mordecai,"Yeah. You're to me like Don is to you. I think you're kinda awkward to look at, and you embarrass me all the time, and I wish I could trade you in for someone else. But I don't. Because you're like my brother. With brothers you always gotta make do. And I think you should make do, too."
Don,"Look, I'm glad you guys stopped by but... I just can't finish the audit. I'm sorry."
Rigby,"Don, please! I need your help with the audit, bro."
Don,Why is it so hard for you to give me sugar? (Almost crying) Why do you hate me?
Mordecai,He's mad about the birthday party.
Rigby,No! It wasn't just the birthday party. It's everything.
Mordecai and Rigby are in a photo booth,"Rigby looks angry as Mordecai beckons Don in as well. Photos are shown in which Mordecai and Don are front and center, and Rigby struggles to be seen at the back. The montage ends.)"
Don,"I... I had no idea. I'm sorry, bro. I didn't mean to steal your friends. I was just trying to be cool like you."
Rigby,Huh?
Don,"I've always looked up to you, bro. I get my hair cut like you, I try to look like you, and I don't wear clothes, just like you. Remember when you started walking around naked? I thought you were so cool."
Mordecai,"Yeah, dude. That was pretty cool."
Don,Alright. Let's go save your park.
Don,Where's the computer?
Don,"Jeez! What did you do, bro?"
Rigby,I tried to do the taxis!
Don,Hold on. This is gonna be close.
Don,"Alright, I got it! I just have to do one more thing."
Rigby,Do it!
Rigby,Why isn't anything happening?
Don,"Because... (Stands up and turns around, arms outstretched) I still need some sugar, bro."
Rigby,WHAT?
Everyone except Rigby,(Angrily) Rigby!
Mordecai,"Aw, Don. Do you have to leave already?"
Don,"Sorry, Mordo, but an accountant's work is never done."
Benson,"Thanks for everything, Don."
Pops,Do come back soon!
Skips,Mmhmm.
Don,"Well, big brother, if you ever need some sugar, you know who to call."
Don,"Later, gators."
Mordecai,(Leaning in to Rigby with a giant smirk on his face) Sugar?
Rigby,Shut up!
Rigby,"Oh man, oh man, oh man, oh man! Mordecai, check it out! I found it in the trash in the back. Isn't it cool?"
Mordecai,"Dude, you gotta stop pulling stuff out of the trash. It's unnatural."
Rigby,"You're unnatural! Besides, this is different. It's a treasure from the past."
Mordecai,It is a pretty sweet plate.
Rigby,We should put some food on this baby!
Mordecai,"Hmm, hmm. Agreed. You know what would look great on this plate? Chocolate cake!"
Rigby,"Ahhhhh, yes. But how can we afford something as good as chocolate cake?"
Mordecai,"Don't worry, dude. I think I know where we can get one."
Rigby,"I can't wait to eat that greasy pig. Wait, how much does it cost?"
Mordecai,(Looks at the box) A buck fifty.
Rigby,Aaaargh!
Rigby,I told you cake mix is too expensive.
Doorman,Do you know the bride or the groom?
Mordecai and Rigby,Uhhh..
Mordecai,The one with the cake?
Mordecai and Rigby,Ugghhh!!
Cashier at the free store,"Yeah, we don't have cakes."
Mordecai,"(Sighs) Well, I'm all out of ideas."
Rigby,Ooh! I got it! There's that chocolate cake at the snack bar!
Mordecai,"Yeah. But, Benson will only let you have it for free if it's your birthday."
Rigby,Who's to say it's not my birthday?
Mordecai,Who's to say it's not my birthday?
Rigby,Free cake! Free cake!
Benson,It's neither of your birthdays.
Rigby,"Aw, man! He's killing us with that!"
Rigby,(Sadly) No cake. No cake.
Pops,But it is Skips' birthday.
Rigby,Free cake! Free cake!
Benson,But he's really private about it.
Rigby,(Sadly) No cake. No cake.
Benson,"Come to think of it, I don't think we've ever had a party for Skips."
Pops,"If memory serves, Skips secludes himself in the woods every year on the day of his birth."
Mordecai,"So, wait? You guys have never thrown a party for Skips?"
Benson,No.
Mordecai,"Dude, that sucks. Skips totally deserves a party."
Rigby,(Who interrupts) And cake.
Mordecai,"Whenever something goes wrong, it's Skips who fixes it. Heâ€™s always there for us, no matter what. I bet Skips wants a party, but he's such a quiet guy he doesn't know how to ask. We owe him a party."
Rigby,And also a cake.
Pops,"Woo! Good show, jolly good show! Benson, a soiree for Skips, what a crackerjack idea!"
Benson,"You're right. Fine. If you two get Skips on board, we'll throw a party for him."
Mordecai,"Oh, we know how to get him on board."
Rigby,"Oh, I know! Let's get a van."
Dream Rigby,"Happy birthday, Skips."
Rigby,BAM! Free cake!
Mordecai,"No, dude. Thatâ€™s kidnapping."
Rigby,"But we can't just tell him. You heard Benson, Skips isn't into this stuff."
Mordecai,"I know, but dude, Skips is cool. We should just go and tell him we gonna throw him a party."
Rigby,"Argh, laaaame!"
Mordecai,What? What's wrong with that?
Rigby,"Two things: one, no surprise, and two, no vans."
Mordecai,(gasp) That's it.
Rigby,"What, vans?"
Mordecai,"No, Surprise. Dude, we should throw Skips a surprise party!"
Rigby,"Dude, that's perfect!"
Mordecai,"Yeah, I know. 'Cause no one can say NO to a surprise party."
Rigby,'Cause they can't.
Mordecai and Rigby,Free cake! Free cake!
Skips,"No, I don't wanna hang out with you guys at 8 o'clock tonight."
Mordecai,"Well, then... How about later tonight?"
Skips,No! I wanna be left alone!
Mordecai,"Argh, man. What would we do now?"
Rigby,"Dude, Check it. We'll just lie to Benson and get the cake first, and figure out the Skips part later."
Mordecai,"Hmm, hmm. Sounds like a cake worthy idea to me."
Mordecai and Rigby,Free cake! Free cake!
Mordecai,Skips totally wants a birthday party.
Benson,Really? How did you convince him?
Mordecai,We told him there's gonna be cake.
Rigby,"Yeah, he wants an extra-large chocolate one."
Benson,Really?
Mordecai,Yeah. 8:00. His place.
Rigby,"But he wants it to be a surprise, so if you see him, don't say anything. (Mordecai punches Rigby.) Ow!"
Benson,"Okay. Here's the key to the cake in the snack bar. I guess Iâ€™ll see you at 8. But if you morons are lying to me, you'll be on dish duty for the next month!!"
Mordecai,We did it!
Rigby,Let's eat it!
Mordecai,No! You heard Benson. Do you wanna be on dish duty?
Rigby,"Arghhhhhhh, fine. We'll do dish duty."
Mordecai,"No, dude. We have to get Skips."
Rigby,Are you sure Skips is even here?
Mordecai,Pops said Skips secludes himself in the woods. Where else should we look? (Rigby's stomach rumbles.) Don't touch that cake.
Rigby,It's a medical emergency.
Mordecai,You just ate a sandwich.
Rigby,Are you a doctor now? Did you go to medical school in the past 5 minutes?
Mordecai,"We're saving it for the party, and that's THAT."
Benson,Do you see them?
Pops,Not yet.
Benson,Hit the lights. It's almost 8 p.m.
Muscle Man,Whooooo! Skips is gonna be so surprised when he comes in and sees us totally naked.
Benson,"It's not that kind of party, Muscle Man."
Muscle Man,Ohhhh... Don't turn on the lights.
Rigby,"Ohhhh, man, it's almost 8. We're not gonna find him, let's just eat it."
Mordecai,"No. Benson's gonna get pissed, so we shouldnâ€™t. (In reruns, the line is changed to ""Benson's gonna get ticked, so we shouldn't."")"
Rigby,Benson's gonna get like that no matter what. (Grabs the cake from Mordecai.) Better to have no regrets.
Mordecai,"Dude! No! (Grabs the cake back. Rigby jumps on Mordecai trying to get the cake.) RIGBY! GET OFF! (Mordecai throws Rigby off and tries to run away with the cake, but Rigby gets him. They fight over the cake.) Dude! Quit it! You're ruining the cake! (A mysterious sound is heard.) Wait. What's that? Sounds like some kind of weird Aztec ritual... (Mordecai and Rigby stop fighting. While Mordecai was puzzling over the sound Rigby sneakily obtained the cake.) I think it's coming from over there. We should go to check it out."
Rigby,"That's funny. Usually, if there's a strange noise in the woods, you don't check it out. Mordecai? (They see Skips singing and jumping around a blue-colored bonfire with a big rattle.) What's Skips doing?"
Mordecai,I don't know. But it looks kind of important. Maybe we should leave him alone.
Rigby,What about the cake?
Mordecai,Would you forget about the cake for a minute? Rigby!
Rigby,"You're coming with us, Skips!"
Skips,What are you doing?!? (The bonfire goes out.) Fools! You interrupted my spirit dance! You don't realize what you've done!
Gary,Skips. You have broken the pact with the Guardians of Youth.
Skips,"Gary, You don't have to do this!"
Gary,Listen. I'm just doing my job.
Mordecai,Wait! Where are you taking him?
Gary,I'm only the chauffeur.
Mordecai,"Dude, I think we just screwed Skips!"
Rigby,"And ourselves! No Skips, no cake!"
Mordecai,Come on. We better follow him. (They jump into the trunk. The pickup arrives onto a sandy island in the space.) Dude. What the...
Rigby,Dude. What's with the babies? We've got to get Skips back to the park.
Mordecai,Shh! Shut up!
Gary,Guardians of Eternal Youth. I have brought you the condemned.
Guardian of Eternal Youth,"Skips. You have failed to complete the Spirit Dance. And thus the pact you made with us for eternal youth has been broken. Now you shall shrivel into dust and disappear, Forever."
Mordecai and Rigby,SKIPS!!!!!
Mordecai,Wait! It's not his fault!
Guardian of Eternal Youth,What's done is done.
Mordecai,But this is our fault! We interrupted the dance before he could finish!
